server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
MSGDB5,WSGWADMIN,EMAIL,2017/09/09,1,0,TABLE PARTITION
MSGDB5,CWSGW,EXTERNAL_MESSAGES_BKUP,2017/08/29,1222,3674291,TABLE
MSGDB5,AVAILNG,AVAIL_TEST,2016/05/06,0,0,TABLE
MSGDB5,MDSYS,MD$RELATE,2017/08/29,0,94,TABLE
MSGDB5,WMSYS,WM$HINT_TABLE,2008/10/14,0,58,TABLE
MSGDB5,WSGWADMIN,CONTENT_BKP,2017/09/09,447,2033670,TABLE
MSGDB5,DBADMIN,DB_ADMIN_NAME_STANDARDS,2017/08/29,0,1,TABLE
MSGDB5,BULKSEND,QRTZ_LOCKS,2017/09/12,0,5,TABLE
MSGDB5,BULKSEND,QRTZ_CRON_TRIGGERS,2017/09/12,0,0,TABLE
MSGDB5,MDSYS,SDO_XML_SCHEMAS,2017/08/29,0,4,TABLE
MSGDB5,MDSYS,SDO_THEMES_TABLE,2017/08/29,0,0,TABLE
MSGDB5,MDSYS,SDO_PREFERRED_OPS_USER,2017/08/29,0,0,TABLE
MSGDB5,MDSYS,SDO_ELLIPSOIDS,2017/08/29,0,94,TABLE
MSGDB5,ORDSYS,SI_IMAGE_FORMATS_TAB,2017/08/29,0,17,TABLE
MSGDB5,EXFSYS,SYS_IOT_OVER_41759,2017/08/29,0,0,TABLE
MSGDB5,EXFSYS,RLM$SCHACTLIST,2017/08/29,0,0,TABLE
MSGDB5,XDB,XDB$PATH_ID,2006/12/07,0,0,TABLE
MSGDB5,EXFSYS,EXF$PREDATTRMAP,2017/08/29,0,0,TABLE
MSGDB5,WMSYS,WM$EVENTS_INFO,2006/12/07,0,12,TABLE
MSGDB5,WMSYS,WM$SYSPARAM_ALL_VALUES,2008/10/14,0,27,TABLE
MSGDB5,WMSYS,WM$RIC_TRIGGERS_TABLE,2006/12/07,0,0,TABLE
MSGDB5,DBSNMP,MGMT_BSLN_STATISTICS,2017/08/29,0,0,TABLE
MSGDB5,DBSNMP,MGMT_BSLN_BASELINES,2017/08/29,0,0,TABLE
MSGDB5,DBSNMP,MGMT_BASELINE,2017/08/29,0,1,TABLE
MSGDB5,DBADMIN,SCHEMA_PRIVILEGES_EXCEPTIONS,2017/08/29,0,2,TABLE
MSGDB5,AVAILNG,KNOWN_LONG_RUNNING_JOBS,2014/01/28,0,0,TABLE
