
SERVER_NAME   ,OWNER               ,OBJECT_NAME                                       ,LAST_DDL_TIME                           ,STATUS    ,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AMIDALA.MQUBE.,CAMPAIGNAPP         ,MEDIATYPE_SEQ                                     ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPCONTENT_SEQ                                    ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPFORMAT_SEQ                                     ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPCONTENTITEM_SEQ                                ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPSITECONTENT_SEQ                                ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPCONTENTLIST_SEQ                                ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPREQUESTENTRY_SEQ                               ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPREQUEST_SEQ                                    ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,WAPUSERTDR_ENTRY_SEQ                              ,07/12/05                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AMIDALA.MQUBE.,CAMPAIGNAPP         ,HERBALALERTNUMBERSEQ                              ,08/07/04                                ,VALID     ,SEQUENCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
