SERVER_NA,OWNER                         ,TABLE_NAME                    ,LAST_ANA,   SIZE_MB,  NUM_ROWS,OBJECT_TYPE
AMIDALA  ,CAMPAIGNAPP                   ,CLUSERALERT                   ,12/09/17,         2,     27770,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CSGREGISTRATION               ,12/09/17,        ,3,       163,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CTIASHOWALERTSUBSCRIBER       ,12/09/17,        ,3,       137,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,DEPENDENCY                    ,12/09/17,        10,     35170,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MESSAGETYPETOTALSREPORT       ,12/09/17,        10,        13,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QUIZ                          ,12/09/17,        ,3,        49,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SERVICE_SMS_EMAIL             ,12/09/17,         3,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WHEELDATA                     ,12/09/17,         3,       233,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CAMPAIGNFLOW                  ,12/09/17,         7,      9181,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SEGMENTSUBSCRIBERRESP         ,12/09/17,        40,        14,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TESTCARL_MAX                  ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,HERBALALERT                   ,12/09/17,        ,1,        24,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,JEEPZIPCODE                   ,12/09/17,         2,     41350,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOWHATSNEWADBANNER2       ,12/09/17,        ,1,         1,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOWHATSNEW2               ,12/09/17,        ,6,        53,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONBLACKLISTLOG      ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MLBGAMEUPDATE                 ,12/09/17,        ,4,      2312,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MMSORGMGMT2                   ,12/09/17,        ,1,         3,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MMSUSERAPPLICATION            ,12/09/17,        ,4,      2079,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QUESTIONPOLL                  ,12/09/17,        ,1,         9,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOTFCLOG                  ,12/09/17,     11712, 113562560,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONDELIVERYQUEUE     ,12/09/17,       207,   2506030,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOMEDIAPLAYER2PRIORITY    ,12/09/17,         2,       269,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCQRTZ_JOB_LISTENERS          ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCQRTZ_BLOB_TRIGGERS          ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCQRTZ_CALENDARS              ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCQRTZ_FIRED_TRIGGERS         ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BTQRTZ_TRIGGERS               ,12/09/17,        ,1,         2,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOABADDBANNER             ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_FIRED_TRIGGERS         ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOETULOG                  ,12/09/17,        ,3,      2596,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOFABCONTACTS             ,12/09/17,         8,     48260,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VIRGINRATEPLANCACHE           ,12/09/17,      1409,    922090,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMTABLETUSERS                 ,12/09/17,        ,3,       781,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BCQRTZ_JOB_DETAILS            ,12/09/17,        ,1,         2,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOTCAREFEATURESSEGMENT_TMP,12/09/17,        ,1,       146,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CTIABIGEZRESPONSE             ,12/09/17,         3,       112,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MESSAGEDELIVERYREPORT         ,12/09/17,         3,       111,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SERVICE_CODE                  ,12/09/17,         3,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,T3REGISTRATION                ,12/09/17,         6,     53120,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WAPUSERTDR                    ,12/09/17,         2,     19674,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CHRISTDAILYSUBSCRIBER         ,12/09/17,        ,1,      1576,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BOOSTSUBSCRIBER               ,12/09/17,         2,     11079,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,INLAFLASHREWARD               ,12/09/17,        ,1,        58,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,INLAFLASHREWARDENTRY          ,12/09/17,        ,6,      6500,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,DEVICE                        ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,WAPHEADER                     ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MARKETWATCHSUBSCRIPTION       ,12/09/17,        ,1,       150,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MARKETWATCHALERT              ,12/09/17,        ,1,        16,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IQALERT                       ,12/09/17,        ,7,      1917,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IQSERVICECODE                 ,12/09/17,        ,1,        38,TABLE
