
SERVER_NAME   ,OWNER               ,TABLE_NAME                              ,LAST_ANA,   SIZE_MB,                      NUM_ROWS,SEGMENT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AMIDALA.MQUBE.,DIALOGSERVER        ,STUDIOSMXMSGLOG                         ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,MMGMSGLOG                               ,08/09/17,    708963,                    1518712100,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,DIALOGXMLLOG                            ,08/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,DIALOGSERVER        ,PROGRAMIVRSTATSLOG                      ,08/09/17,         5,                          1518,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,MMSGW               ,MMSGWLOG                                ,11/09/17,      1158,                       2576060,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,MTRUST              ,OPTIN_EVENT                             ,11/09/17,         3,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SMSGW               ,SMSGWCONNECTIONLOG                      ,11/09/17,       595,                       6348380,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SMX                 ,OLD_ROUTINGRANGE                        ,11/09/17,       227,                       1667220,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SMX                 ,OLD_LNPOCNCACHE                         ,11/09/17,       792,                      14161140,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBARCHIVE                              ,20/07/12,         4,                       9019070,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBBILLINGHISTORY                       ,11/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBSCRIPTIONEVENTLOG                    ,11/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,CARRIERNOTIFICATION                     ,20/07/12,         4,                       5148340,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBANNIVACTIVITY                        ,20/07/12,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,IDENTITYCOOKIES                         ,20/07/12,         1,                             3,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBSCRIPTION                            ,11/09/17,      1646,                        563720,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBSCRIPTIONCONTENTTYPE                 ,11/09/17,         1,                            16,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBMGMTACTIVITY                         ,11/09/17,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,SUBDOWNLOADACTIVITY                     ,20/07/12,         1,                             0,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AMIDALA.MQUBE.,SUBSCRIPTIONS       ,DIALOGSTATE                             ,20/07/12,         2,                            37,TABLE PARTITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
