server_name,owner,synonym_name,table_owner,table_name,db_link,object_type
MSGDB6,PUBLIC,WM$VER_BEF_INST_PARVERS_VIEW,WMSYS,WM$VER_BEF_INST_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$VER_BEF_INST_NEXTVERS_VIEW,WMSYS,WM$VER_BEF_INST_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_VT_ERRORS,WMSYS,ALL_WM_VT_ERRORS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_VT_ERRORS,WMSYS,USER_WM_VT_ERRORS,,SYNONYM
MSGDB6,PUBLIC,WM$PARVERS_VIEW,WMSYS,WM$PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$VERSIONS_IN_LIVE_VIEW,WMSYS,WM$VERSIONS_IN_LIVE_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$TABLE_PARVERS_VIEW,WMSYS,WM$TABLE_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$TABLE_NEXTVERS_VIEW,WMSYS,WM$TABLE_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$TABLE_VERSIONS_IN_LIVE_VIEW,WMSYS,WM$TABLE_VERSIONS_IN_LIVE_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$TABLE_WS_PARVERS_VIEW,WMSYS,WM$TABLE_WS_PARVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM_REPLICATION_INFO,WMSYS,WM$REPLICATION_INFO,,SYNONYM
MSGDB6,PUBLIC,WM_INSTALLATION,WMSYS,WM_INSTALLATION,,SYNONYM
MSGDB6,PUBLIC,DBMS_WM,WMSYS,LT,,SYNONYM
MSGDB6,PUBLIC,PRODUCT_PROFILE,SYSTEM,PRODUCT_PRIVS,,SYNONYM
MSGDB6,PUBLIC,PRODUCT_USER_PROFILE,SYSTEM,PRODUCT_PRIVS,,SYNONYM
MSGDB6,PUBLIC,STATS$SNAPSHOT_ID,PERFSTAT,STATS$SNAPSHOT_ID,,SYNONYM
MSGDB6,PUBLIC,STATS$DATABASE_INSTANCE,PERFSTAT,STATS$DATABASE_INSTANCE,,SYNONYM
MSGDB6,PUBLIC,STATS$LEVEL_DESCRIPTION,PERFSTAT,STATS$LEVEL_DESCRIPTION,,SYNONYM
MSGDB6,PUBLIC,STATS$SNAPSHOT,PERFSTAT,STATS$SNAPSHOT,,SYNONYM
MSGDB6,PUBLIC,STATS$DB_CACHE_ADVICE,PERFSTAT,STATS$DB_CACHE_ADVICE,,SYNONYM
MSGDB6,PUBLIC,STATS$FILESTATXS,PERFSTAT,STATS$FILESTATXS,,SYNONYM
MSGDB6,PUBLIC,STATS$TEMPSTATXS,PERFSTAT,STATS$TEMPSTATXS,,SYNONYM
MSGDB6,PUBLIC,STATS$LATCH,PERFSTAT,STATS$LATCH,,SYNONYM
MSGDB6,PUBLIC,STATS$LATCH_CHILDREN,PERFSTAT,STATS$LATCH_CHILDREN,,SYNONYM
MSGDB6,PUBLIC,STATS$LATCH_PARENT,PERFSTAT,STATS$LATCH_PARENT,,SYNONYM
MSGDB6,PUBLIC,STATS$LATCH_MISSES_SUMMARY,PERFSTAT,STATS$LATCH_MISSES_SUMMARY,,SYNONYM
MSGDB6,PUBLIC,STATS$LIBRARYCACHE,PERFSTAT,STATS$LIBRARYCACHE,,SYNONYM
MSGDB6,PUBLIC,STATS$BUFFER_POOL_STATISTICS,PERFSTAT,STATS$BUFFER_POOL_STATISTICS,,SYNONYM
MSGDB6,PUBLIC,STATS$ROLLSTAT,PERFSTAT,STATS$ROLLSTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$ROWCACHE_SUMMARY,PERFSTAT,STATS$ROWCACHE_SUMMARY,,SYNONYM
MSGDB6,PUBLIC,STATS$SGA,PERFSTAT,STATS$SGA,,SYNONYM
MSGDB6,PUBLIC,STATS$SGASTAT,PERFSTAT,STATS$SGASTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$SYSSTAT,PERFSTAT,STATS$SYSSTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$SESSTAT,PERFSTAT,STATS$SESSTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$SYSTEM_EVENT,PERFSTAT,STATS$SYSTEM_EVENT,,SYNONYM
MSGDB6,PUBLIC,STATS$SESSION_EVENT,PERFSTAT,STATS$SESSION_EVENT,,SYNONYM
MSGDB6,PUBLIC,STATS$BG_EVENT_SUMMARY,PERFSTAT,STATS$BG_EVENT_SUMMARY,,SYNONYM
MSGDB6,PUBLIC,STATS$WAITSTAT,PERFSTAT,STATS$WAITSTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$ENQUEUE_STAT,PERFSTAT,STATS$ENQUEUE_STAT,,SYNONYM
MSGDB6,PUBLIC,STATS$SQL_SUMMARY,PERFSTAT,STATS$SQL_SUMMARY,,SYNONYM
MSGDB6,PUBLIC,STATS$SQLTEXT,PERFSTAT,STATS$SQLTEXT,,SYNONYM
MSGDB6,PUBLIC,STATS$SQL_STATISTICS,PERFSTAT,STATS$SQL_STATISTICS,,SYNONYM
MSGDB6,PUBLIC,STATS$RESOURCE_LIMIT,PERFSTAT,STATS$RESOURCE_LIMIT,,SYNONYM
MSGDB6,PUBLIC,STATS$DLM_MISC,PERFSTAT,STATS$DLM_MISC,,SYNONYM
MSGDB6,PUBLIC,STATS$UNDOSTAT,PERFSTAT,STATS$UNDOSTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$SQL_PLAN_USAGE,PERFSTAT,STATS$SQL_PLAN_USAGE,,SYNONYM
MSGDB6,PUBLIC,STATS$SQL_PLAN,PERFSTAT,STATS$SQL_PLAN,,SYNONYM
MSGDB6,PUBLIC,STATS$SEG_STAT,PERFSTAT,STATS$SEG_STAT,,SYNONYM
MSGDB6,PUBLIC,STATS$SEG_STAT_OBJ,PERFSTAT,STATS$SEG_STAT_OBJ,,SYNONYM
MSGDB6,PUBLIC,STATS$PGASTAT,PERFSTAT,STATS$PGASTAT,,SYNONYM
MSGDB6,PUBLIC,STATS$IDLE_EVENT,PERFSTAT,STATS$IDLE_EVENT,,SYNONYM
MSGDB6,PUBLIC,STATS$PARAMETER,PERFSTAT,STATS$PARAMETER,,SYNONYM
MSGDB6,PUBLIC,STATS$INSTANCE_RECOVERY,PERFSTAT,STATS$INSTANCE_RECOVERY,,SYNONYM
MSGDB6,PUBLIC,STATS$STATSPACK_PARAMETER,PERFSTAT,STATS$STATSPACK_PARAMETER,,SYNONYM
MSGDB6,PUBLIC,STATS$SHARED_POOL_ADVICE,PERFSTAT,STATS$SHARED_POOL_ADVICE,,SYNONYM
MSGDB6,PUBLIC,STATS$SQL_WORKAREA_HISTOGRAM,PERFSTAT,STATS$SQL_WORKAREA_HISTOGRAM,,SYNONYM
MSGDB6,PUBLIC,STATS$PGA_TARGET_ADVICE,PERFSTAT,STATS$PGA_TARGET_ADVICE,,SYNONYM
MSGDB6,PUBLIC,STATSPACK,PERFSTAT,STATSPACK,,SYNONYM
MSGDB6,SMX,MESSAGESTATUSDATA,CAMPAIGNAPP,MESSAGESTATUSDATA,,SYNONYM
MSGDB6,SMX,PKG_DB_UTILS,DBADMIN,PKG_DB_UTILS,,SYNONYM
MSGDB6,PUBLIC,SEND_MAIL,DBADMIN,PRC_SEND_MAIL,,SYNONYM
MSGDB6,PUBLIC,OL$,SYSTEM,OL$,,SYNONYM
MSGDB6,PUBLIC,OL$HINTS,SYSTEM,OL$HINTS,,SYNONYM
MSGDB6,PUBLIC,OL$NODES,SYSTEM,OL$NODES,,SYNONYM
MSGDB6,PUBLIC,WM_PERIOD,WMSYS,WM_PERIOD,,SYNONYM
MSGDB6,PUBLIC,WM_CONCAT,WMSYS,WM_CONCAT,,SYNONYM
MSGDB6,PUBLIC,WM_OVERLAPS,WMSYS,WM_OVERLAPS,,SYNONYM
MSGDB6,PUBLIC,WM_INTERSECTION,WMSYS,WM_INTERSECTION,,SYNONYM
MSGDB6,PUBLIC,WM_LDIFF,WMSYS,WM_LDIFF,,SYNONYM
MSGDB6,PUBLIC,WM_RDIFF,WMSYS,WM_RDIFF,,SYNONYM
MSGDB6,PUBLIC,WM_CONTAINS,WMSYS,WM_CONTAINS,,SYNONYM
MSGDB6,PUBLIC,WM_MEETS,WMSYS,WM_MEETS,,SYNONYM
MSGDB6,PUBLIC,WM_LESSTHAN,WMSYS,WM_LESSTHAN,,SYNONYM
MSGDB6,PUBLIC,WM_GREATERTHAN,WMSYS,WM_GREATERTHAN,,SYNONYM
MSGDB6,PUBLIC,WM_EQUALS,WMSYS,WM_EQUALS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_CONSTRAINTS,WMSYS,USER_WM_CONSTRAINTS,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_CONSTRAINTS,WMSYS,ALL_WM_CONSTRAINTS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_IND_COLUMNS,WMSYS,USER_WM_IND_COLUMNS,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_IND_COLUMNS,WMSYS,ALL_WM_IND_COLUMNS,,SYNONYM
MSGDB6,PUBLIC,USER_WM_IND_EXPRESSIONS,WMSYS,USER_WM_IND_EXPRESSIONS,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_IND_EXPRESSIONS,WMSYS,ALL_WM_IND_EXPRESSIONS,,SYNONYM
MSGDB6,PUBLIC,WM$CONF1_HIERARCHY_VIEW,WMSYS,WM$CONF1_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CONF2_HIERARCHY_VIEW,WMSYS,WM$CONF2_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CONF_BASE_HIERARCHY_VIEW,WMSYS,WM$CONF_BASE_HIERARCHY_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CONF1_NEXTVER_VIEW,WMSYS,WM$CONF1_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CONF2_NEXTVER_VIEW,WMSYS,WM$CONF2_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CONF_BASE_NEXTVER_VIEW,WMSYS,WM$CONF_BASE_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$ALL_NEXTVER_VIEW,WMSYS,WM$ALL_NEXTVER_VIEW,,SYNONYM
MSGDB6,PUBLIC,USER_WM_CONS_COLUMNS,WMSYS,USER_WM_CONS_COLUMNS,,SYNONYM
MSGDB6,PUBLIC,ALL_WM_CONS_COLUMNS,WMSYS,ALL_WM_CONS_COLUMNS,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_CHILD_VERSIONS_VIEW,WMSYS,WM$CURRENT_CHILD_VERSIONS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_CHILD_NEXTVERS_VIEW,WMSYS,WM$CURRENT_CHILD_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$BASE_VERSION_VIEW,WMSYS,WM$BASE_VERSION_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$MW_VERSIONS_VIEW,WMSYS,WM$MW_VERSIONS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$MW_NEXTVERS_VIEW,WMSYS,WM$MW_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_CONS_VERSIONS_VIEW,WMSYS,WM$CURRENT_CONS_VERSIONS_VIEW,,SYNONYM
MSGDB6,PUBLIC,WM$CURRENT_CONS_NEXTVERS_VIEW,WMSYS,WM$CURRENT_CONS_NEXTVERS_VIEW,,SYNONYM
MSGDB6,PUBLIC,USER_MP_PARENT_WORKSPACES,WMSYS,USER_MP_PARENT_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,ALL_MP_PARENT_WORKSPACES,WMSYS,ALL_MP_PARENT_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,USER_MP_GRAPH_WORKSPACES,WMSYS,USER_MP_GRAPH_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,ALL_MP_GRAPH_WORKSPACES,WMSYS,ALL_MP_GRAPH_WORKSPACES,,SYNONYM
MSGDB6,PUBLIC,WM_EVENTS_INFO,WMSYS,WM_EVENTS_INFO,,SYNONYM
