server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
QTSMMDB,OUTLN,OL$HINTS,2011/09/17,0,0,TABLE
QTSMMDB,DBSNMP,MGMT_RESPONSE_CONFIG,2013/04/03,0,2,TABLE
QTSMMDB,DBSNMP,BSLN_STATISTICS,2017/09/03,1,2218,TABLE
QTSMMDB,WMSYS,WM$WORKSPACES_TABLE,2011/09/17,0,1,TABLE
QTSMMDB,WMSYS,AQ$_WM$EVENT_QUEUE_TABLE_L,2011/09/17,0,0,TABLE
QTSMMDB,EXFSYS,EXF$VALIDPRIVS,2011/09/17,0,3,TABLE
QTSMMDB,CTXSYS,DR$CLASS,2011/09/17,0,13,TABLE
QTSMMDB,CTXSYS,DR$OBJECT_ATTRIBUTE_LOV,2011/09/17,0,168,TABLE
QTSMMDB,CTXSYS,DR$PREFERENCE,2011/09/17,0,28,TABLE
QTSMMDB,CTXSYS,SYS_IOT_OVER_56370,2011/09/17,0,0,TABLE
QTSMMDB,CTXSYS,DR$STOPLIST,2011/09/17,0,1,TABLE
QTSMMDB,CTXSYS,DR$NUMBER_SEQUENCE,2011/09/17,0,256,TABLE
QTSMMDB,CTXSYS,DR$FEATURE_USED,2016/06/30,0,17,TABLE
QTSMMDB,XDB,APP_USERS_AND_ROLES,2011/09/17,0,1,TABLE
QTSMMDB,XDB,XDB$WORKSPACE,2011/09/17,0,0,TABLE
QTSMMDB,XDB,XDB$XTAB,2011/09/17,0,0,TABLE
QTSMMDB,XDB,XDB$SIMPLE_TYPE_VIEW_TBL,2011/09/17,0,0,TABLE
QTSMMDB,XDB,XDB$COMPLEX_TYPE_VIEW_TBL,2011/09/17,0,0,TABLE
QTSMMDB,EXFSYS,SYS_IOT_OVER_58777,2011/09/17,0,0,TABLE
QTSMMDB,ORDSYS,ORD_USAGE_RECS,2011/09/17,0,0,TABLE
QTSMMDB,ORDSYS,SI_FEATURES_TAB,2011/09/17,0,4,TABLE
QTSMMDB,ORDSYS,SI_VALUES_TAB,2011/09/17,0,8,TABLE
QTSMMDB,ORDDATA,ORDDCM_ANON_RULES,2011/09/17,0,3,TABLE
QTSMMDB,ORDDATA,ORDDCM_CT_PRED_OPRD,2011/09/17,0,53,TABLE
QTSMMDB,ORDDATA,ORDDCM_CT_PRED_SET,2011/09/17,0,9,TABLE
QTSMMDB,ORDDATA,ORDDCM_CT_MACRO_PAR,2011/09/17,0,2,TABLE
QTSMMDB,ORDDATA,ORDDCM_CT_PRED_PAR,2011/09/17,0,3,TABLE
QTSMMDB,ORDDATA,ORDDCM_DICT_ATTRS_WRK,2011/09/17,0,0,TABLE
QTSMMDB,ORDDATA,ORDDCM_UID_DEFS_WRK,2011/09/17,0,0,TABLE
QTSMMDB,ORDDATA,ORDDCM_DATA_MODEL_WRK,2011/09/17,0,0,TABLE
QTSMMDB,MDSYS,SDO_TOPO_METADATA_TABLE,2011/09/17,0,0,TABLE
QTSMMDB,MDSYS,SDO_COORD_OP_PATHS,2011/09/17,0,365,TABLE
QTSMMDB,MDSYS,SDO_COORD_OP_PARAM_USE,2011/09/17,0,726,TABLE
QTSMMDB,MDSYS,SDO_STYLES_TABLE,2013/04/03,0,78,TABLE
QTSMMDB,MDSYS,SDO_XML_SCHEMAS,2013/04/03,0,5,TABLE
QTSMMDB,OLAPSYS,CWM$PROJECT,2011/09/17,0,3,TABLE
QTSMMDB,OLAPSYS,CWM$MODEL,2011/09/17,0,2,TABLE
QTSMMDB,OLAPSYS,CWM2$MRALL_DIM_ATTRIBUTES,2011/09/17,0,0,TABLE
QTSMMDB,OLAPSYS,CWM2$MRALL_CWM1_AGGOP,2011/09/17,0,0,TABLE
QTSMMDB,MDSYS,WFS_FTXSDINFO$,2011/09/17,0,0,TABLE
QTSMMDB,MDSYS,CSW_RECORD_TYPES$,2011/09/17,0,0,TABLE
QTSMMDB,SYSMAN,MGMT_JOB_STEP_PARAMS,2014/10/09,1,4032,TABLE
QTSMMDB,SYSMAN,MGMT_JOB_SUBST_PARAMS,2014/10/09,0,13,TABLE
QTSMMDB,SYSMAN,MGMT_MASTER_CHANGED_CALLBACK,2014/10/09,0,1,TABLE
QTSMMDB,SYSMAN,SYS_IOT_OVER_490298,2017/09/14,0,0,TABLE
QTSMMDB,SYSMAN,MGMT_CALLBACKS,2014/10/09,0,87,TABLE
QTSMMDB,SYSMAN,MGMT_NOTIFY_DEVICES,2014/10/09,0,0,TABLE
QTSMMDB,SYSMAN,MGMT_NOTIFY_RULES,2014/10/09,0,7,TABLE
