
ORCL          ,PUBLIC         ,CTX_USER_PENDING              ,CTXSYS         ,CTX_USER_PENDING              ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_SET_INDEXES    ,CTXSYS         ,CTX_USER_INDEX_SET_INDEXES    ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_INDEX_SET_INDEXES         ,CTXSYS         ,CTX_INDEX_SET_INDEXES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_SETS           ,CTXSYS         ,CTX_USER_INDEX_SETS           ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_INDEX_SETS                ,CTXSYS         ,CTX_INDEX_SETS                ,               ,SYNONYM

ORCL          ,PUBLIC         ,CTX_USER_SUB_LEXERS           ,CTXSYS         ,CTX_USER_SUB_LEXERS           ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_SUB_LEXERS                ,CTXSYS         ,CTX_SUB_LEXERS                ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_STOPWORDS            ,CTXSYS         ,CTX_USER_STOPWORDS            ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_STOPWORDS                 ,CTXSYS         ,CTX_STOPWORDS                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_STOPLISTS            ,CTXSYS         ,CTX_USER_STOPLISTS            ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_STOPLISTS                 ,CTXSYS         ,CTX_STOPLISTS                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_SECTIONS             ,CTXSYS         ,CTX_USER_SECTIONS             ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_SECTIONS                  ,CTXSYS         ,CTX_SECTIONS                  ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_SECTION_GROUPS       ,CTXSYS         ,CTX_USER_SECTION_GROUPS       ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_SECTION_GROUPS            ,CTXSYS         ,CTX_SECTION_GROUPS            ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_THES_PHRASES         ,CTXSYS         ,CTX_USER_THES_PHRASES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_THES_PHRASES              ,CTXSYS         ,CTX_THES_PHRASES              ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_THESAURI             ,CTXSYS         ,CTX_USER_THESAURI             ,               ,SYNONYM

ORCL          ,PUBLIC         ,CTX_THESAURI                  ,CTXSYS         ,CTX_THESAURI                  ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_SQES                 ,CTXSYS         ,CTX_USER_SQES                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_SQES                      ,CTXSYS         ,CTX_SQES                      ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_OBJECTS        ,CTXSYS         ,CTX_USER_INDEX_OBJECTS        ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_SUB_LEXER_VALS ,CTXSYS         ,CTX_USER_INDEX_SUB_LEXER_VALS ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_SUB_LEXERS     ,CTXSYS         ,CTX_USER_INDEX_SUB_LEXERS     ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_VALUES         ,CTXSYS         ,CTX_USER_INDEX_VALUES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEX_PARTITIONS     ,CTXSYS         ,CTX_USER_INDEX_PARTITIONS     ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_INDEXES              ,CTXSYS         ,CTX_USER_INDEXES              ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_PREFERENCE_VALUES    ,CTXSYS         ,CTX_USER_PREFERENCE_VALUES    ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_PREFERENCE_VALUES         ,CTXSYS         ,CTX_PREFERENCE_VALUES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_USER_PREFERENCES          ,CTXSYS         ,CTX_USER_PREFERENCES          ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_PREFERENCES               ,CTXSYS         ,CTX_PREFERENCES               ,               ,SYNONYM

ORCL          ,PUBLIC         ,CTX_OBJECT_ATTRIBUTE_LOV      ,CTXSYS         ,CTX_OBJECT_ATTRIBUTE_LOV      ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_OBJECT_ATTRIBUTES         ,CTXSYS         ,CTX_OBJECT_ATTRIBUTES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_OBJECTS                   ,CTXSYS         ,CTX_OBJECTS                   ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_CLASSES                   ,CTXSYS         ,CTX_CLASSES                   ,               ,SYNONYM
ORCL          ,PUBLIC         ,CTX_PARAMETERS                ,CTXSYS         ,CTX_PARAMETERS                ,               ,SYNONYM
ORCL          ,PUBLIC         ,PRODUCT_USER_PROFILE          ,SYSTEM         ,PRODUCT_PRIVS                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,PRODUCT_PROFILE               ,SYSTEM         ,PRODUCT_PRIVS                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XDB_CONTENT              ,XDB            ,DBMS_XDB_CONTENT              ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XMLSTORAGE_MANAGE        ,XDB            ,DBMS_XMLSTORAGE_MANAGE        ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XMLSCHEMA_ANNOTATE       ,XDB            ,DBMS_XMLSCHEMA_ANNOTATE       ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XDB_CONSTANTS            ,XDB            ,DBMS_XDB_CONSTANTS            ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XMLTRANSLATIONS          ,XDB            ,DBMS_XMLTRANSLATIONS          ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XEVENT                   ,XDB            ,DBMS_XEVENT                   ,               ,SYNONYM

ORCL          ,PUBLIC         ,DBMS_RESCONFIG                ,XDB            ,DBMS_RESCONFIG                ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_NESTED_TABLES        ,SYS            ,USER_XML_NESTED_TABLES        ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_NESTED_TABLES         ,SYS            ,ALL_XML_NESTED_TABLES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_NESTED_TABLES         ,SYS            ,CDB_XML_NESTED_TABLES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_NESTED_TABLES         ,SYS            ,DBA_XML_NESTED_TABLES         ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XMLTYPE_COLS             ,SYS            ,USER_XMLTYPE_COLS             ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XMLTYPE_COLS              ,SYS            ,ALL_XMLTYPE_COLS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XMLTYPE_COLS              ,SYS            ,CDB_XMLTYPE_COLS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XMLTYPE_COLS              ,SYS            ,DBA_XMLTYPE_COLS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_OUT_OF_LINE_TABLES   ,SYS            ,USER_XML_OUT_OF_LINE_TABLES   ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_OUT_OF_LINE_TABLES    ,SYS            ,ALL_XML_OUT_OF_LINE_TABLES    ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_OUT_OF_LINE_TABLES    ,SYS            ,CDB_XML_OUT_OF_LINE_TABLES    ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_OUT_OF_LINE_TABLES    ,SYS            ,DBA_XML_OUT_OF_LINE_TABLES    ,               ,SYNONYM

ORCL          ,PUBLIC         ,USER_XML_SCHEMA_ATTRIBUTES    ,SYS            ,USER_XML_SCHEMA_ATTRIBUTES    ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_ATTRIBUTES     ,SYS            ,ALL_XML_SCHEMA_ATTRIBUTES     ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_ATTRIBUTES     ,SYS            ,CDB_XML_SCHEMA_ATTRIBUTES     ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_ATTRIBUTES     ,SYS            ,DBA_XML_SCHEMA_ATTRIBUTES     ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMA_SIMPLE_TYPES  ,SYS            ,USER_XML_SCHEMA_SIMPLE_TYPES  ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_SIMPLE_TYPES   ,SYS            ,ALL_XML_SCHEMA_SIMPLE_TYPES   ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_SIMPLE_TYPES   ,SYS            ,CDB_XML_SCHEMA_SIMPLE_TYPES   ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_SCHEMA_SIMPLE_TYPES   ,SYS            ,DBA_XML_SCHEMA_SIMPLE_TYPES   ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_SCHEMA_COMPLEX_TYPES ,SYS            ,USER_XML_SCHEMA_COMPLEX_TYPES ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_SCHEMA_COMPLEX_TYPES  ,SYS            ,ALL_XML_SCHEMA_COMPLEX_TYPES  ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_SCHEMA_COMPLEX_TYPES  ,SYS            ,CDB_XML_SCHEMA_COMPLEX_TYPES  ,               ,SYNONYM
