server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
PRODDW3,EDWMART,CARRIERDETAIL_04_SEP_2009,2017/08/29,520,1475606,TABLE
PRODDW3,EDWMART,ERR_SRC_PROTOCOLS_12_SEP_2017,2017/09/13,0,88,TABLE
PRODDW3,EDWMART,RFND_RPRT_RFND_RSN_27_OCT_2014,2017/08/29,0,16,TABLE
PRODDW3,EDWMART,SHORT_CODES_03_SEP_2009,2017/08/29,0,5644,TABLE
PRODDW3,EDWMART,CARRIER_PRODUCTS_11_SEP_2017,2017/09/12,2,36550,TABLE
PRODDW3,EDWMART,TIME_ZONES_11_SEP_2017,2017/09/12,0,25,TABLE
PRODDW3,EDWMART,RFND_RPRT_RFND_RSN_28_OCT_2014,2017/08/29,0,16,TABLE
PRODDW3,EDWMART,VW_REFUND_DETAILS_28_OCT_2014,2017/08/29,0,0,TABLE
PRODDW3,EDWMART,INTERNAL_PRODUCTS_11_SEP_2017,2017/09/12,2,24960,TABLE
PRODDW3,AVAIL,TABLESPACE_HISTORY,2017/08/29,0,162,TABLE
PRODDW3,WMSYS,WM$VERSION_TABLE,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$VT_ERRORS_TABLE,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$WORKSPACE_PRIV_TABLE,2008/10/22,0,8,TABLE
PRODDW3,WMSYS,WM$RESOLVE_WORKSPACES_TABLE,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$NEXTVER_TABLE,2008/10/22,0,1,TABLE
PRODDW3,WMSYS,WM$RIC_TRIGGERS_TABLE,2008/10/22,0,0,TABLE
PRODDW3,DBSNMP,MGMT_SNAPSHOT,2017/08/29,0,0,TABLE
PRODDW3,DBSNMP,MGMT_SNAPSHOT_SQL,2017/08/29,0,0,TABLE
PRODDW3,EDWMART,RECON_SUMMARY_PV_29_OCT_2014,2017/08/29,1,9082,TABLE
PRODDW3,EDWMART,CONTENT_PROVIDERS_11_SEP_2017,2017/09/12,0,1086,TABLE
PRODDW3,EDWMART,CURRENCIES_11_SEP_2017,2017/09/12,0,114,TABLE
PRODDW3,EDWMART,SYS_EXPORT_SCHEMA_01,2017/08/29,0,1740,TABLE
PRODDW3,EDWMART,PROGRAMS_10_SEP_2017,2017/09/11,3,7895,TABLE
PRODDW3,AVAIL,RMAN_NOBACKUP_FILES,2017/08/29,0,0,TABLE
PRODDW3,WMSYS,WM$CONS_COLUMNS,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$MP_GRAPH_WORKSPACES_TABLE,2008/10/22,0,0,TABLE
PRODDW3,WMSYS,WM$BATCH_COMPRESSIBLE_TABLES,2008/10/22,0,0,TABLE
PRODDW3,DBSNMP,MGMT_BSLN_INTERVALS,2017/08/29,0,0,TABLE
PRODDW3,DBSNMP,MGMT_BSLN_THRESHOLD_PARMS,2017/08/29,0,0,TABLE
PRODDW3,DBSNMP,MGMT_CAPTURE,2017/08/29,0,0,TABLE
PRODDW3,EDWMART,ERR_SRC_PROTOCOLS_10_SEP_2017,2017/09/11,0,88,TABLE
PRODDW3,EDWMART,RECON_SUMMARY_PV_28_OCT_2014,2017/08/29,1,9082,TABLE
PRODDW3,EDWMART,CARRIER_PYMT_SMRY_27_OCT_2014,2017/08/29,392,3116451,TABLE
PRODDW3,EDWMART,MESSAGE_DIRECTION_12_SEP_2017,2017/09/13,0,4,TABLE
PRODDW3,EDWMART,REV_PURCH_MODELS_10_SEP_2017,2017/09/11,0,5,TABLE
PRODDW3,EDWMART,ERRORS_10_SEP_2017,2017/09/11,0,519,TABLE
PRODDW3,EDWMART,RDR_ZLMHJNQSWT,2017/08/29,0,2615,TABLE
PRODDW3,EDWMART,PROGRAMS_11_SEP_2017,2017/09/12,3,7800,TABLE
PRODDW3,EDWMART,TIME_ZONES_12_SEP_2017,2017/09/13,0,25,TABLE
