server_name,owner,table_name,last_analyzed,size_mb,num_rows,object_type
TYPHO,BRAT,CARRIERDETAIL_ATT_REPURCH_SUBS,2017/08/29,1,1097,TABLE
TYPHO,BRAT,TMP_CARR_NOTIFY_MISSING_EDW,2017/08/29,1,6277,TABLE
TYPHO,BRAT,TMP_VZW_SUB_MIGRT_FINAL_4MINS,2015/11/15,1,4,TABLE
TYPHO,BRAT,RECONCILE_PORTAL_CARRIERPYMT,2017/08/29,0,20,TABLE
TYPHO,BRAT,TMP_INDIGO_2012_09_DLVRPT,2017/08/29,1,16559,TABLE
TYPHO,BRAT,TMP_INDIGO_2012_10,2017/08/29,5,6709,TABLE
TYPHO,BRAT,TMP_DAILY_AUTONRENEW,2017/08/29,1,268,TABLE
TYPHO,BRAT,RECON_SUMMARY_PAYVIA_TEMP,2017/08/29,1,83,TABLE
TYPHO,BRAT,MTH_HISTORY_TEST,2017/08/29,1,761,TABLE
TYPHO,BRAT,NZ_MESSAGE_LOG_MT_TEST,2017/08/29,1,34,TABLE
TYPHO,BRAT,TMP_CARRIERREMIT,2017/08/29,504,1389480,TABLE
TYPHO,BRAT,TMP_MOBILE_GIVING_VZW,2015/11/15,2,8451,TABLE
TYPHO,BRAT,TMP_TABLE,2015/11/15,176,408810,TABLE
TYPHO,BRAT,TMP_SENDME_RECON_AUG_2009,2015/11/15,1,4,TABLE
TYPHO,BRAT,TMP_TMOBILE3PG_SUBS,2015/11/15,1158,4127360,TABLE
TYPHO,BRAT,TMP_SENDME_NON_ATT,2015/11/15,1,853,TABLE
TYPHO,BRAT,TMP_MM_ATT_NACKS_PYMTS,2015/11/15,1,4645,TABLE
TYPHO,BRAT,CARRIERDETAIL_ATT_MIGRATE_SUBS,2017/08/29,1,2623,TABLE
TYPHO,BRAT,SUBS_TO_CANCEL_RERUN,2017/08/29,96,521841,TABLE
TYPHO,BRAT,VZW_BILLING_RETRIES,2015/11/15,208,1116140,TABLE
TYPHO,BRAT,TMP_ATT_DEACT,2017/08/29,0,1922,TABLE
TYPHO,BRAT,FIX_SUBSYNC,2017/08/29,1,2102,TABLE
TYPHO,BRAT,BRATPREMIUMMSGDAILY,2017/08/29,8,42582,TABLE
TYPHO,BRAT,CARRIERDTL_TMOBILE_MISSING_AUG,2017/08/29,11,19270,TABLE
TYPHO,BRAT,TMP_MM_DUP_SUBS,2015/11/15,1,176,TABLE
TYPHO,BRAT,TMP_TMOBILE_REFUND,2015/11/15,2,18716,TABLE
TYPHO,BRAT,SUBCARRPURCH_AMIDALA,2017/08/29,144,509194,TABLE
TYPHO,BRAT,CARRNOTIFY_CARRDETAIL,2017/08/29,2,7514,TABLE
TYPHO,BRAT,PREMIUMAUTH_SEPT_PAID,2017/08/29,216,542569,TABLE
