
AMIDALA       ,DIALOGSERVER   ,POLLCHOICE                    ,CAMPAIGNAPP    ,POLLCHOICE                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MILLERPIN                     ,CAMPAIGNAPP    ,MILLERPIN                     ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,PROMOINABOXDATING             ,CAMPAIGNAPP    ,PROMOINABOXDATING             ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,NESQUIKPLAYER                 ,CAMPAIGNAPP    ,NESQUIKPLAYER                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,ANSWERPOLL                    ,CAMPAIGNAPP    ,ANSWERPOLL                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,QUESTIONPOLL                  ,CAMPAIGNAPP    ,QUESTIONPOLL                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,MLBPROMOTION                  ,CAMPAIGNAPP    ,MLBPROMOTION                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCFRENCHPICKUPLINE           ,CAMPAIGNAPP    ,VMCFRENCHPICKUPLINE           ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,IQALERTSTATUS                 ,CAMPAIGNAPP    ,IQALERTSTATUS                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,IQALERTSERVICE                ,CAMPAIGNAPP    ,IQALERTSERVICE                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,IQALERT                       ,CAMPAIGNAPP    ,IQALERT                       ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,CHRISTDAILYGIFTS              ,CAMPAIGNAPP    ,CHRISTDAILYGIFTS              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCCELEBRITYDIRT              ,CAMPAIGNAPP    ,VMCCELEBRITYDIRT              ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,VMCWEIRDNEWS                  ,CAMPAIGNAPP    ,VMCWEIRDNEWS                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,SPRINTWINNERS                 ,CAMPAIGNAPP    ,SPRINTWINNERS                 ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,BMSOLOSUBS                    ,CAMPAIGNAPP    ,BMSOLOSUBS                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,DWANGOVOTER                   ,CAMPAIGNAPP    ,DWANGOVOTER                   ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,POLLRESPONSE                  ,CAMPAIGNAPP    ,POLLRESPONSE                  ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,POLLCHOICE_SEQ                ,CAMPAIGNAPP    ,POLLCHOICE_SEQ                ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,POLLQN_SEQ                    ,CAMPAIGNAPP    ,POLLQN_SEQ                    ,               ,SYNONYM
AMIDALA       ,DIALOGSERVER   ,POLL_SEQ                      ,CAMPAIGNAPP    ,POLL_SEQ                      ,               ,SYNONYM

AMIDALA       ,DIALOGSERVER   ,POLLRESPONSE_SEQ              ,CAMPAIGNAPP    ,POLLRESPONSE_SEQ              ,               ,SYNONYM
