server_name,owner,db_link_name,Host,username,object_type
AMIDALA,MMREAD,TYPHO.MQUBE.COM,TYPHO.MQUBE.US,BRAT,DATABASE LINK
AMIDALA,DIALOGSERVER,TYPHO.MQUBE.US,(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(Host=192.168.10.111)(Port=1521)))(CONNECT_DATA=(SERVICE_NAME = typho.mqube.us))),BILLING,DATABASE LINK
AMIDALA,REFUND_API,TYPHO.MQUBE.US,TYPHO.MQUBE.US,BRAT,DATABASE LINK
AMIDALA,DBADMIN,TYPHO.MQUBE.US,(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(Host=192.168.10.111)(Port=1521)))(CONNECT_DATA=(SERVICE_NAME = typho.mqube.us))),EDWADM,DATABASE LINK
AMIDALA,PUBLIC,MSGDB6.MQUBE.US,(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(Host=prod-db6.mqube.us)(Port=1521)))
